name,title,chamber,party,state,lga,constituency,senatorial_district,email,phone
"Tajudeen Abbas","Rt. Hon.","HOUSE_OF_REPS","APC","Kaduna","","Zaria Federal Constituency","","tajudeen.abbas@nass.gov.ng","08034000001"
"Benjamin Kalu","Hon.","HOUSE_OF_REPS","APC","Abia","","Bende Federal Constituency","","benjamin.kalu@nass.gov.ng","08034000002"
"Kingsley Chinda","Hon.","HOUSE_OF_REPS","PDP","Rivers","","Obio/Akpor Federal Constituency","","kingsley.chinda@nass.gov.ng","08034000003"
"Julius Ihonvbere","Hon.","HOUSE_OF_REPS","APC","Edo","","Owan East/Owan West Federal Constituency","","julius.ihonvbere@nass.gov.ng","08034000004"
"Akin Alabi","Hon.","HOUSE_OF_REPS","APC","Oyo","","Egbeda/Ona Ara Federal Constituency","","akin.alabi@nass.gov.ng","08034000005"
"Femi Gbajabiamila","Hon.","HOUSE_OF_REPS","APC","Lagos","","Surulere I Federal Constituency","","femi.gbajabiamila@nass.gov.ng","08034000006"
"James Faleke","Hon.","HOUSE_OF_REPS","APC","Lagos","","Ikeja Federal Constituency","","james.faleke@nass.gov.ng","08034000007"
"Nkeiruka Onyejeocha","Hon.","HOUSE_OF_REPS","APC","Abia","","Isuikwuato/Umunneochi Federal Constituency","","nkeiruka.onyejeocha@nass.gov.ng","08034000008"
"Ahmed Idris Wase","Hon.","HOUSE_OF_REPS","APC","Plateau","","Wase Federal Constituency","","ahmed.wase@nass.gov.ng","08034000009"
"Alhassan Ado Doguwa","Hon.","HOUSE_OF_REPS","APC","Kano","","Doguwa/Tudun Wada Federal Constituency","","alhassan.doguwa@nass.gov.ng","08034000010"
"Abdulrazak Namdas","Hon.","HOUSE_OF_REPS","APC","Adamawa","","Maio Belwa/Jada/Ganye Federal Constituency","","abdulrazak.namdas@nass.gov.ng","08034000011"
"Haruna Maitala","Hon.","HOUSE_OF_REPS","APC","Plateau","","Mikang/Qua'an Pan Federal Constituency","","haruna.maitala@nass.gov.ng","08034000012"
"Yusuf Gagdi","Hon.","HOUSE_OF_REPS","APC","Plateau","","Pankshin/Kanam/Kanke Federal Constituency","","yusuf.gagdi@nass.gov.ng","08034000013"
