name,title,chamber,party,state,lga,constituency,senatorial_district,email,phone
"Godswill Akpabio","Senator","SENATE","APC","Akwa Ibom","","","Akwa Ibom North West","godswill.akpabio@nass.gov.ng","08033000001"
"Barau Jibrin","Senator","SENATE","APC","Kano","","","Kano North","barau.jibrin@nass.gov.ng","08033000002"
"Solomon Adeola","Senator","SENATE","APC","Lagos","","","Lagos West","solomon.adeola@nass.gov.ng","08033000003"
"Oluremi Tinubu","Senator","SENATE","APC","Lagos","","","Lagos Central","oluremi.tinubu@nass.gov.ng","08033000004"
"Tokunbo Abiru","Senator","SENATE","APC","Lagos","","","Lagos East","tokunbo.abiru@nass.gov.ng","08033000005"
"Adams Oshiomhole","Senator","SENATE","APC","Edo","","","Edo North","adams.oshiomhole@nass.gov.ng","08033000006"
"Ali Ndume","Senator","SENATE","APC","Borno","","","Borno South","ali.ndume@nass.gov.ng","08033000007"
"Orji Uzor Kalu","Senator","SENATE","APC","Abia","","","Abia North","orji.kalu@nass.gov.ng","08033000008"
"Seriake Dickson","Senator","SENATE","PDP","Bayelsa","","","Bayelsa West","seriake.dickson@nass.gov.ng","08033000009"
"Abba Moro","Senator","SENATE","PDP","Benue","","","Benue South","abba.moro@nass.gov.ng","08033000010"
"Enyinnaya Abaribe","Senator","SENATE","PDP","Abia","","","Abia South","enyinnaya.abaribe@nass.gov.ng","08033000011"
"Theodore Orji","Senator","SENATE","PDP","Abia","","","Abia Central","theodore.orji@nass.gov.ng","08033000012"
"Elisha Abbo","Senator","SENATE","APC","Adamawa","","","Adamawa North","elisha.abbo@nass.gov.ng","08033000013"
"Aishatu Binani","Senator","SENATE","APC","Adamawa","","","Adamawa Central","aishatu.binani@nass.gov.ng","08033000014"
"Binos Yaroe","Senator","SENATE","PDP","Adamawa","","","Adamawa South","binos.yaroe@nass.gov.ng","08033000015"
"Bassey Albert Akpan","Senator","SENATE","YPP","Akwa Ibom","","","Akwa Ibom North East","bassey.akpan@nass.gov.ng","08033000016"
"Akon Eyakenyi","Senator","SENATE","PDP","Akwa Ibom","","","Akwa Ibom South","akon.eyakenyi@nass.gov.ng","08033000017"
"Uche Ekwunife","Senator","SENATE","PDP","Anambra","","","Anambra Central","uche.ekwunife@nass.gov.ng","08033000018"
"Victor Umeh","Senator","SENATE","LP","Anambra","","","Anambra Central","victor.umeh@nass.gov.ng","08033000019"
"Tony Nwoye","Senator","SENATE","LP","Anambra","","","Anambra North","tony.nwoye@nass.gov.ng","08033000020"
"Ifeanyi Ubah","Senator","SENATE","YPP","Anambra","","","Anambra South","ifeanyi.ubah@nass.gov.ng","08033000021"
"Halliru Jika","Senator","SENATE","APC","Bauchi","","","Bauchi Central","halliru.jika@nass.gov.ng","08033000022"
"Abdul Ningi","Senator","SENATE","PDP","Bauchi","","","Bauchi North","abdul.ningi@nass.gov.ng","08033000023"
"Shehu Buba","Senator","SENATE","APC","Bauchi","","","Bauchi South","shehu.buba@nass.gov.ng","08033000024"
"Gabriel Suswam","Senator","SENATE","PDP","Benue","","","Benue North East","gabriel.suswam@nass.gov.ng","08033000025"
"Emmanuel Orker Jev","Senator","SENATE","PDP","Benue","","","Benue North West","emmanuel.jev@nass.gov.ng","08033000026"
"Kashim Shettima","Senator","SENATE","APC","Borno","","","Borno Central","kashim.shettima@nass.gov.ng","08033000027"
"Mohammed Tahir Monguno","Senator","SENATE","APC","Borno","","","Borno North","mohammed.monguno@nass.gov.ng","08033000028"
"Jarigbe Agom Jarigbe","Senator","SENATE","PDP","Cross River","","","Cross River North","jarigbe.agom@nass.gov.ng","08033000029"
"Eteng Jonah Williams","Senator","SENATE","PDP","Cross River","","","Cross River Central","eteng.williams@nass.gov.ng","08033000030"
"Asuquo Ekpenyong","Senator","SENATE","APC","Cross River","","","Cross River South","asuquo.ekpenyong@nass.gov.ng","08033000031"
"Ovie Omo-Agege","Senator","SENATE","APC","Delta","","","Delta Central","ovie.omoagege@nass.gov.ng","08033000032"
"Joel-Onowakpo Thomas","Senator","SENATE","APC","Delta","","","Delta South","joel.onowakpo@nass.gov.ng","08033000033"
"Ned Nwoko","Senator","SENATE","PDP","Delta","","","Delta North","ned.nwoko@nass.gov.ng","08033000034"
"Linus Okorie","Senator","SENATE","PDP","Ebonyi","","","Ebonyi Central","linus.okorie@nass.gov.ng","08033000035"
"Sam Egwu","Senator","SENATE","PDP","Ebonyi","","","Ebonyi North","sam.egwu@nass.gov.ng","08033000036"
"Joseph Ogba","Senator","SENATE","PDP","Ebonyi","","","Ebonyi South","joseph.ogba@nass.gov.ng","08033000037"
"Matthew Urhoghide","Senator","SENATE","PDP","Edo","","","Edo South","matthew.urhoghide@nass.gov.ng","08033000038"
"Clifford Ordia","Senator","SENATE","PDP","Edo","","","Edo Central","clifford.ordia@nass.gov.ng","08033000039"
"Biodun Olujimi","Senator","SENATE","PDP","Ekiti","","","Ekiti South","biodun.olujimi@nass.gov.ng","08033000040"
"Adeniyi Adeyeye","Senator","SENATE","APC","Ekiti","","","Ekiti Central","adeniyi.adeyeye@nass.gov.ng","08033000041"
"Opeyemi Bamidele","Senator","SENATE","APC","Ekiti","","","Ekiti North","opeyemi.bamidele@nass.gov.ng","08033000042"
"Chimaroke Nnamani","Senator","SENATE","PDP","Enugu","","","Enugu East","chimaroke.nnamani@nass.gov.ng","08033000043"
"Gilbert Nnaji","Senator","SENATE","PDP","Enugu","","","Enugu North","gilbert.nnaji@nass.gov.ng","08033000044"
"Osita Ngwu","Senator","SENATE","PDP","Enugu","","","Enugu West","osita.ngwu@nass.gov.ng","08033000045"
"Ireti Kingibe","Senator","SENATE","LP","FCT","","","FCT","ireti.kingibe@nass.gov.ng","08033000046"
"Danjuma Goje","Senator","SENATE","APC","Gombe","","","Gombe Central","danjuma.goje@nass.gov.ng","08033000047"
"Adamu Aliero","Senator","SENATE","APC","Kebbi","","","Kebbi Central","adamu.aliero@nass.gov.ng","08033000048"
"Bala Ibn Na'Allah","Senator","SENATE","APC","Kebbi","","","Kebbi South","bala.naallah@nass.gov.ng","08033000049"
"Yahaya Abdullahi","Senator","SENATE","PDP","Kebbi","","","Kebbi North","yahaya.abdullahi@nass.gov.ng","08033000050"

